Permutation	rank_1	rank_2	rank_3	rank_4	rank_5	rank_6	rank_7	rank_8	rank_9	rank_10	rank_11	rank_12	rank_13	rank_14	rank_15	rank_16	rank_17	rank_18	rank_19	rank_20	rank_21	rank_22	rank_23	rank_24	rank_25	rank_26	rank_27	rank_28	rank_29	rank_30	rank_31	rank_32	rank_33	rank_34	rank_35	rank_36	rank_37	rank_38	rank_39	rank_40	rank_41	rank_42	rank_43	rank_44	rank_45	rank_46	rank_47	rank_48	rank_49	rank_50	rank_51	rank_52	rank_53	rank_54	rank_55	rank_56	rank_57	rank_58	rank_59	rank_60	rank_61	rank_62	rank_63	rank_64	rank_65	rank_66	rank_67	rank_68	rank_69	rank_70	rank_71	rank_72	rank_73	rank_74	rank_75	rank_76	rank_77	rank_78	rank_79	rank_80	rank_81	rank_82	rank_83	rank_84	rank_85	rank_86	rank_87	rank_88	rank_89	rank_90	rank_91	rank_92	rank_93	rank_94	rank_95	rank_96	rank_97	rank_98	rank_99	rank_100	rank_101	rank_102	rank_103	rank_104	rank_105	rank_106	rank_107	rank_108	rank_109	rank_110	rank_111	rank_112	rank_113	rank_114	rank_115	rank_116	rank_117	rank_118	rank_119	rank_120	rank_121	rank_122	rank_123	rank_124	rank_125	rank_126	rank_127	rank_128	rank_129	rank_130	rank_131	rank_132	rank_133	rank_134	rank_135	rank_136	rank_137	rank_138	rank_139	rank_140	rank_141	rank_142	rank_143	rank_144	rank_145	rank_146	rank_147	rank_148	rank_149	rank_150	rank_151	rank_152	rank_153	rank_154	rank_155	rank_156	rank_157	rank_158
86	55287	73153	84162	92700	99262	105389	111051	116136	121953	126234	130640	135831	139574	143579	147376	153729	157705	161247	164911	168360	171665	175266	178720	182170	185484	188578	191700	194783	197850	200888	203834	209518	212650	215524	219374	221485	224083	226270	229073	233885	236380	239704	242105	244649	247465	250008	252678	255140	257788	259991	262500	265215	267612	270044	272483	277333	279442	281519	284058	286223	288441	290737	292929	295148	297382	300031	302111	303716	305738	307786	309750	311717	313537	315456	319873	321794	323525	325553	327676	329606	329623	331677	333614	335737	337245	338902	340894	342721	344416	345876	347356	349003	350721	352600	354803	356833	358214	359941	361456	363084	364682	366169	367720	369119	370531	372068	373318	374798	376210	377587	379041	381036	382247	383605	384831	386080	387809	389105	390591	391870	393112	394530	395889	397093	398340	399927	401043	402125	403339	404093	405145	406287	407416	408630	409647	411061	412177	413231	414273	415308	416296	417186	418267	419362	420357	421455	422489	423446	424380	425366	426418	427280	428081	428984	428991	429780	430522	431426
87	56014	74284	85261	94902	101873	107575	113260	118121	122788	127348	134158	138488	142329	146110	149943	153445	157278	161166	164681	168370	171661	174907	178102	181239	184544	187762	193666	196664	200006	202496	205692	207893	210896	213791	216638	218949	221677	225920	233330	235948	238569	241527	244285	246860	249559	253003	255563	258959	261396	263863	266522	268890	271101	273720	276616	278939	281222	283635	285810	287610	289243	291648	292597	294660	296950	299211	301562	306044	308151	310240	311916	313973	315474	317517	319791	320630	322576	324750	326502	328284	328294	330255	331934	333647	335624	337065	338930	340708	342760	344469	346228	347954	349684	351269	352834	354389	355818	357297	358788	360393	361950	363490	364919	366534	368024	369502	370832	372260	373688	375093	376361	377679	378992	380510	382525	383924	385501	386907	388384	389653	391058	391984	393278	394534	395507	396777	398041	399232	400623	401820	403008	404026	405193	406417	407697	408711	409842	410926	411571	412878	414177	415528	416535	417853	418984	419925	421060	422135	423060	424063	425079	425879	426812	427599	428698	429590	430503	431426
88	55844	75126	86610	95214	102221	109403	114779	119981	123932	128486	133017	136408	140601	144739	148561	152407	156251	159629	163322	167002	170578	173923	176963	180019	183383	189119	192045	196746	202560	205312	208254	211768	214879	217723	220637	223298	226025	229140	231875	233262	235902	238595	241198	243707	246101	248710	251763	254072	256345	258985	261373	263533	266375	269301	271562	274039	280942	283260	285414	287456	289175	291170	293194	294457	296684	298538	300235	302218	304207	306620	308642	313176	315268	316771	318720	320857	322715	323855	325460	327261	329244	331179	333100	335015	337199	338811	340486	342255	343966	345695	347422	348167	350058	351646	353453	355088	356800	358567	360152	361744	363293	364748	366374	367977	369543	370999	372511	374069	375495	376846	378263	379773	381163	382384	383792	385049	386050	387458	388582	389895	391500	392773	394296	394303	395631	396832	398052	399623	400853	401977	403193	404216	405456	406584	407651	408753	410286	411427	412433	413510	414647	415553	416748	417984	418985	420056	421087	422179	423201	423966	425054	425980	426874	427908	428964	429710	430732	431426
89	54547	72861	83604	92091	98721	104921	109567	114585	119855	124646	128924	133071	137593	141048	144841	148611	152204	156106	159802	164935	168378	171623	174758	178025	180137	183153	186226	189233	192299	196777	199868	202840	205566	208515	211439	214182	216978	219973	222487	225172	227939	230386	236111	243727	251066	253750	256126	258421	260822	263205	265799	268758	271225	273634	275386	277712	280029	282158	284350	286810	288952	293004	295041	297180	299394	300705	302490	304524	306441	308395	310303	312342	314410	315480	317488	319414	322080	324014	325951	327938	329677	331539	333442	335870	337654	339657	341233	342903	344248	346018	348001	349747	351385	352893	354482	356037	357372	358992	360493	362139	363499	364896	366392	367724	369314	371054	371742	373158	374375	375632	377445	378200	379571	381116	382483	384000	385294	386584	387920	389136	390435	391972	393358	394697	396061	397229	398337	399745	400881	402126	403358	404555	405713	407117	408143	409269	410452	411697	412891	413942	414782	415877	416802	417733	418807	419841	420867	421913	422893	423896	424905	426011	426957	428036	429026	429835	430398	431426
90	55594	74294	85287	93737	100603	106620	112312	117119	122483	127307	133837	140537	144796	148852	153084	156838	162715	165582	169250	172743	176033	179381	182621	185806	188605	192229	194740	197783	200121	203017	205817	208756	211316	214158	218646	222001	224882	227413	230368	233021	236033	238535	241152	243656	245890	251409	254332	256630	259003	261394	263794	266198	268450	271247	273591	275632	279143	281850	284285	286663	289278	291445	293732	295727	299986	302119	304147	306247	308600	310655	312649	314804	316850	318978	320917	321941	323855	325646	327493	329057	330927	332800	334394	336029	338064	339905	339921	341709	343411	345241	346935	349182	350735	352274	353509	355166	356746	358237	359783	361373	363073	364708	366319	367815	369244	370695	372199	373777	375423	376941	378372	379813	381525	382900	383571	384735	385879	387103	388509	389669	390987	392153	393400	394695	395984	397133	398475	399814	401009	402117	403222	404527	405494	406635	407741	408845	410008	411176	412294	413612	414766	415672	416629	418087	419178	420368	421439	422663	423714	424611	425294	426204	426968	427815	428791	429654	430590	431426
91	55723	73569	83622	91929	98752	104643	110068	115175	120152	124975	131716	136081	140048	144044	153057	156127	160578	164074	166394	171255	174846	178214	180693	183821	187017	189985	192963	196748	199922	203078	206134	210443	213854	216450	219592	222223	224922	227695	230385	233169	235923	238340	241204	244461	246765	249186	251753	254178	256565	258765	261194	263821	266116	268600	271281	275916	279031	281312	283446	285563	288981	291396	293488	295580	297890	300135	302322	303448	305407	307454	309418	311489	315944	317958	319853	321853	323818	325079	326868	328844	330978	332906	334716	336357	338057	339799	341535	343170	345291	347349	349141	350654	352520	354079	355750	357416	359136	360638	362282	363902	365370	366901	368175	369699	371176	372650	374206	376032	377412	378587	380089	381312	382491	383955	385070	386295	387662	389032	390453	391532	391541	392762	393978	395562	396705	397882	398945	400177	401332	402602	403799	405171	406431	407784	408893	410130	411391	412533	413593	414477	415539	416641	417614	418849	419719	420452	421488	422408	423186	424264	425446	425847	426863	427772	428737	429620	430513	431426
92	55241	73616	84536	93015	99883	105975	113864	118986	123818	128284	132689	137071	140980	144674	148563	156827	160388	165460	168938	172395	175791	179480	183725	187153	190392	193746	197430	200751	203184	206253	209284	212252	215009	218257	220503	223344	225882	228590	231396	234036	236634	239054	241340	243993	246545	249582	252266	254926	257402	260023	262391	264798	267188	269462	270500	275910	278098	280614	282866	284166	286504	288684	291504	294069	296138	297792	300231	302312	304713	306677	309063	310919	312997	316586	318333	320121	321945	323469	325491	327298	329281	330932	332773	334630	336292	338202	340072	342337	344099	345969	347667	349342	350866	352615	354145	355744	357641	359101	360657	362003	363655	365275	366411	367908	369618	371147	371964	373358	375876	377304	378838	380202	381685	382923	384400	385870	387172	388425	389921	391241	392279	393621	395003	396417	397601	398658	399782	400931	402054	403270	404503	405679	406676	407763	408864	409893	411180	412272	413354	414423	415583	416602	417571	418661	419576	420656	421917	422957	422965	424057	425007	425894	426852	427920	428893	429778	430693	431426
93	55580	73645	84854	93836	101158	107344	112863	118069	122540	126826	130982	135144	139331	143231	147237	152989	159484	163103	167546	173438	177039	180400	184064	187376	190561	193592	196858	200176	203331	205776	208491	216393	219774	222702	224138	226923	229829	234201	236763	239302	242070	244566	247117	249585	251006	253762	256294	258699	261655	264012	266581	268970	271483	273940	276295	278871	281286	283942	286218	286234	288745	290957	293369	295498	297739	299938	302004	303973	305974	308205	310070	312136	314048	315588	317440	319535	321312	323013	325325	326998	328862	330645	332350	334131	335664	338029	340147	341821	343417	344961	346398	348279	349969	351643	353587	355083	356590	358206	360073	361542	362691	364224	365927	367583	368974	370658	371976	373527	374899	376451	377890	379287	380615	381855	383297	384626	386092	387308	389012	390397	391836	393082	394407	395451	396924	398199	399541	400810	402044	403287	404742	405899	407112	408343	409760	410861	411811	412705	413804	414852	415905	416993	418083	419104	420189	420832	421697	422525	423396	424459	425403	426335	427277	428123	429190	430075	430900	431426
94	54699	73059	84527	93176	99052	105092	110683	115672	120517	130181	135381	139603	143770	148821	153031	157441	160388	163844	167373	170853	174399	177945	181257	184644	187865	190917	195301	198332	201321	204479	206533	209646	212601	215655	218331	221310	224102	227798	230784	232878	235512	238091	240811	243435	246527	249125	251324	254031	256443	258897	261461	266401	268738	270918	273842	278286	280435	282679	284841	286771	287944	290092	290110	295442	297697	299794	301463	303317	305308	307348	309198	311298	313365	315450	317357	319319	321262	322990	324894	326736	328520	330429	332135	333611	335369	337500	339474	341215	342915	344530	346143	347871	349226	350069	352006	354934	356462	358079	359864	361731	363237	364821	366480	368169	369678	371101	372763	374321	375810	377422	378866	380465	381931	383338	384924	386266	387650	388865	389866	391129	392309	392317	393697	394904	396097	397297	398511	399562	401111	402178	403731	405116	406257	407370	408457	409564	410594	411559	412610	413651	414663	415671	416663	417717	418812	419933	421375	422329	423313	424082	424962	425980	426900	427824	428653	429477	430437	431426
95	54908	73224	84656	93205	104527	112519	117548	122837	128159	132411	136992	141125	146219	150614	154542	158164	161638	164980	168486	171881	175293	178757	181856	186093	189618	192699	195447	198753	201216	204295	207166	210163	212678	215520	218232	220830	223499	226184	228842	231786	234482	237383	239965	242647	245006	247571	250278	252625	255022	257600	260198	263229	265597	267562	269787	271813	274180	276341	278439	280875	283049	285212	287485	289096	291409	293529	295790	303025	304840	306932	308646	310385	312329	314594	316574	318631	320454	322171	323829	325633	327333	332600	334443	336175	338299	339956	342024	343941	345662	347265	349540	351237	352757	354501	355888	357535	359154	360567	362283	364105	365493	366862	369635	371051	372601	373982	375474	376927	377767	379262	380741	381991	383306	385128	386029	387404	388602	389907	391226	392819	394062	395243	396429	398016	399205	400703	402023	403183	404248	405250	406481	407774	408960	409949	411197	412139	413244	414389	415414	416561	417629	418594	419595	420564	421695	422609	423374	424420	425439	426023	426997	427908	428481	429227	429968	430363	431418	431426
96	55857	74771	86288	94606	101767	106864	112906	118175	123171	127645	131665	135808	140196	144083	150630	154312	158128	161628	165057	168781	172243	175716	178674	181793	185004	188147	191730	194686	197683	200787	203796	206661	209411	212235	214979	217589	220058	222515	224913	227776	230484	233641	236208	238652	241245	244152	246286	248388	250822	252987	255694	258714	261139	263737	265780	268129	270330	272628	274766	276865	279218	281331	283632	285435	287384	289391	291306	293657	295909	297882	299872	301699	303930	305838	307888	310057	311803	313672	315478	317259	318841	320653	322408	324456	326320	330261	331988	333951	335167	336737	338594	340208	341840	346218	347787	349444	351062	352262	353926	356048	357639	359326	361062	362768	364349	365809	367304	371354	372927	374300	375965	377097	378639	380010	381301	382547	386074	387310	388682	392490	393658	394533	395842	397006	398194	399231	400473	401758	403064	404182	405483	405492	406668	407870	409087	410195	411187	412241	413246	414367	415447	416489	417526	418469	419389	420380	421457	421468	422717	423766	424738	425713	426682	427561	428563	429429	430311	431426
97	58013	75931	87101	95475	102386	109738	114789	120289	124763	129235	133673	137768	141816	145518	149450	152990	156690	160542	164233	167610	170952	174000	177259	180304	183326	186464	189804	192848	195831	198814	201827	204677	207391	210496	213145	215985	218807	221462	224381	227315	229653	232058	234545	237676	241662	243897	246405	249374	251712	254569	256454	259023	261273	263646	267083	269483	271659	273405	275419	277430	279678	281463	283707	285823	287710	289655	292093	294159	296226	298588	300629	302704	304550	307534	312194	314217	318763	320620	322052	323929	325471	328269	330093	331984	333616	335308	337020	338603	340426	344195	346051	347863	349422	351160	352888	354496	356693	358333	359820	361232	362785	364300	365869	365879	367611	369111	370584	371837	373107	374629	379686	381326	382481	383959	385266	386693	388081	389426	391019	392158	393257	394589	395762	397141	398527	399895	401138	402376	403528	404759	405276	406341	407483	408694	409734	409742	410869	411946	412882	414161	415164	416059	417242	418160	419034	420082	420978	421863	422785	423847	424825	426100	426629	427585	428498	429318	430203	431426
98	55844	74458	85942	95225	102179	108076	113355	117964	122633	129040	133346	137521	141635	148010	151644	155417	158941	162436	165720	168947	174564	177263	181095	184279	187522	190698	193228	196180	199334	202311	205279	208009	210727	213634	216426	218957	221731	224460	227187	230886	233233	236151	239087	241916	244647	246724	249649	251891	254939	260447	262834	266807	270335	272645	274958	277446	279742	281931	284075	286277	289315	291552	294489	296563	298713	300810	302923	305045	307453	309472	311541	313329	315302	317174	318952	320988	323177	325224	327163	329056	330958	332629	334374	336183	338288	339981	342023	343731	345596	346974	348824	350459	352045	353920	355652	357285	358851	360380	362052	363624	365307	366838	368300	369963	371706	373232	374394	375835	377141	378577	380126	381683	383062	383649	384963	386220	387529	388870	390229	391221	392567	393745	394991	396278	397521	398813	399914	401094	402317	403622	404733	405895	406850	408131	408772	409843	410929	412192	413307	414446	415553	416592	417635	418764	419796	420504	421597	422864	423800	424750	425586	426519	427432	427996	429038	429828	430646	431426
99	55569	71458	82798	90997	98053	103908	109421	114503	119453	123815	128205	132303	136569	140510	144366	148099	151844	155325	159164	162575	168555	172000	176443	179358	185036	188671	192345	195330	198574	201555	204549	207578	210646	213597	216426	219274	221976	225579	228121	230827	233666	236411	239000	242174	244809	247454	249919	252877	255397	257737	260001	265358	267934	270165	272355	277159	279586	281832	284148	286368	288449	290914	293098	295118	297177	299244	301118	303324	305411	307893	309873	311884	311896	314059	315755	317574	319579	321303	323387	325132	326974	328969	330751	332564	334209	338509	338519	340237	341676	343360	345279	346807	348384	350128	351671	353360	354890	356605	358344	359797	361048	362945	364293	365756	367106	368392	369971	371513	373203	374596	376010	377276	378466	380071	381384	384407	385699	387376	388584	389904	391325	392699	393971	395187	396419	396987	397994	399437	400678	401770	402883	404008	405234	406486	407690	408292	409552	410510	411707	412860	414088	415246	416310	417289	418314	419280	420413	421749	422898	423876	424833	425747	426826	427784	428783	429591	430509	431426
100	59658	77983	90213	98747	104811	110628	116050	121054	125806	129922	134268	138490	143322	152189	161014	164734	168583	171418	174925	178439	182799	186242	189642	192881	196248	199479	202653	205944	208752	211757	214712	217880	222345	225038	227742	230452	233118	235815	238400	241256	244326	247138	249689	252384	254907	257248	259719	262078	264034	266435	268562	270858	273374	275424	277743	280004	282383	284032	286246	288652	290929	293276	295506	297471	299584	301320	303589	305561	307588	308910	310835	312798	314601	316934	318794	320820	322081	324411	326230	328214	329998	332346	334139	335880	337941	339747	340816	342486	344260	346296	348107	349891	351591	353223	354995	355872	357093	358643	360070	361616	363150	364690	366176	367691	369365	370865	372179	373786	375057	376417	377994	379570	380939	382190	383830	385349	386883	388228	389487	391074	392265	393512	394611	395950	397364	398698	399931	400616	402106	403515	404947	406360	407440	408730	409770	410843	412043	413014	413508	414405	415430	416476	417543	418534	419615	420496	421483	422382	423265	424186	425261	426237	427290	427826	428846	429769	430509	431426
