Linguistic_group_Tribe	gene	phenotype	count	freq
TB_Tribal	cyp2b6	intermediate_metabolizer	21	4.565217391304348
TB_Tribal	cyp2b6	normal_metabolizer	411	89.34782608695652
TB_Tribal	cyp2b6	rapid_metabolizer	27	5.869565217391305
TB_Tribal	cyp2b6	ultrarapid_metabolizer	1	0.21739130434782608
TB_Tribal	cyp2c19	intermediate_metabolizer	200	43.47826086956522
TB_Tribal	cyp2c19	normal_metabolizer	194	42.173913043478265
TB_Tribal	cyp2c19	poor_metabolizer	66	14.347826086956522
TB_Tribal	cyp2c9	intermediate_metabolizer	1	0.21739130434782608
TB_Tribal	cyp2c9	normal_metabolizer	450	97.82608695652173
TB_Tribal	cyp2c9	unknown_metabolizer	9	1.956521739130435
TB_Tribal	cyp2d6	Indeterminate	2	0.43478260869565216
TB_Tribal	cyp2d6	Intermediate Metabolizer	74	16.08695652173913
TB_Tribal	cyp2d6	Normal Metabolizer	145	31.521739130434785
TB_Tribal	cyp2d6	Poor Metabolizer	9	1.956521739130435
TB_Tribal	cyp2d6	Ultrarapid Metabolizer	3	0.6521739130434783
TB_Tribal	cyp2d6	Unknown Metabolizer	163	35.434782608695656
TB_Tribal	cyp2d6	normal_metabolizer	64	13.91304347826087
TB_Tribal	cyp3a5	intermediate_metabolizer	166	36.08695652173913
TB_Tribal	cyp3a5	normal_metabolizer	61	13.260869565217392
TB_Tribal	cyp3a5	poor_metabolizer	233	50.65217391304348
TB_Tribal	cyp4f2	intermediate_metabolizer	32	6.956521739130435
TB_Tribal	cyp4f2	normal_metabolizer	428	93.04347826086956
TB_Tribal	dpyd	intermediate_metabolizer	5	1.0869565217391304
TB_Tribal	dpyd	normal_metabolizer	455	98.91304347826086
TB_Tribal	ifnl3	favorable_response	460	100
TB_Tribal	nudt15	intermediate_metabolizer	18	3.91304347826087
TB_Tribal	nudt15	normal_metabolizer	442	96.08695652173913
TB_Tribal	slco1b1	decreased_function	65	14.130434782608695
TB_Tribal	slco1b1	increased_function	28	6.086956521739131
TB_Tribal	slco1b1	normal_function	362	78.69565217391305
TB_Tribal	slco1b1	poor_function	4	0.8695652173913043
TB_Tribal	slco1b1	unknown_function	1	0.21739130434782608
TB_Tribal	tpmt	intermediate_metabolizer	19	4.130434782608695
TB_Tribal	tpmt	normal_metabolizer	437	95
TB_Tribal	tpmt	unknown_metabolizer	4	0.8695652173913043
TB_Tribal	ugt1a1	intermediate_metabolizer	124	26.956521739130434
TB_Tribal	ugt1a1	normal_metabolizer	68	14.782608695652174
TB_Tribal	ugt1a1	unknown_metabolizer	268	58.26086956521739
TB_Tribal	vkorc1	normal_metabolizer	447	97.17391304347827
TB_Tribal	vkorc1	unknown_metabolizer	13	2.8260869565217392
