"Code","x","y","plot_type","plot_num"
"DR_SDN_2_02",53366.9923120631,14630.6081709501,"path",42
"DR_SDN_2_02",57223.6765935022,14630.6081709501,"path",42
"DR_SDN_2_02",61359.0727341318,14630.6081709501,"path",42
"DR_SDN_2_02",65793.3224657568,14630.6081709501,"path",42
"DR_SDN_2_02",70548.0231071865,14630.6081709501,"path",42
"DR_SDN_2_02",75646.3327554629,14630.6081709501,"path",42
"DR_SDN_2_02",81113.0830789687,14630.6081709501,"path",42
"DR_SDN_2_02",86974.9002617784,14630.6081709501,"path",42
"DR_SDN_2_02",93260.334688322,14630.6081709501,"path",42
"DR_SDN_2_02",1e+05,35178.1564167465,"path",42
"DR_EPL_1_03",0,723.351085460996,"path",43
"DR_EPL_1_03",100,723.351085460996,"path",43
"DR_EPL_1_03",107.226722201032,723.351085460996,"path",43
"DR_EPL_1_03",114.975699539774,723.351085460996,"path",43
"DR_EPL_1_03",123.284673944207,723.351085460996,"path",43
"DR_EPL_1_03",132.194114846603,723.351085460996,"path",43
"DR_EPL_1_03",141.747416292681,723.351085460996,"path",43
"DR_EPL_1_03",151.991108295293,723.351085460996,"path",43
"DR_EPL_1_03",162.975083462064,723.351085460996,"path",43
"DR_EPL_1_03",174.752840000768,9180.91064191386,"path",43
"DR_EPL_1_03",187.381742286038,9180.91064191386,"path",43
"DR_EPL_1_03",200.923300256505,9180.91064191386,"path",43
"DR_EPL_1_03",215.443469003188,9180.91064191386,"path",43
"DR_EPL_1_03",231.012970008316,9180.91064191386,"path",43
"DR_EPL_1_03",247.707635599171,9180.91064191386,"path",43
"DR_EPL_1_03",265.608778294669,50770.8421885008,"path",43
"DR_EPL_1_03",284.80358684358,50770.8421885008,"path",43
"DR_EPL_1_03",305.385550883342,50770.8421885008,"path",43
"DR_EPL_1_03",327.454916287773,50770.8421885008,"path",43
"DR_EPL_1_03",351.119173421513,50770.8421885008,"path",43
"DR_EPL_1_03",376.493580679247,97686.5618808094,"path",43
"DR_EPL_1_03",403.701725859656,97686.5618808094,"path",43
"DR_EPL_1_03",432.876128108306,97686.5618808094,"path",43
"DR_EPL_1_03",464.158883361278,97686.5618808094,"path",43
"DR_EPL_1_03",497.702356433211,97686.5618808094,"path",43
"DR_EPL_1_03",533.669923120631,72581.1290624984,"path",43
"DR_EPL_1_03",572.236765935022,72581.1290624984,"path",43
"DR_EPL_1_03",613.590727341317,72581.1290624984,"path",43
"DR_EPL_1_03",657.933224657568,72581.1290624984,"path",43
"DR_EPL_1_03",705.480231071864,72581.1290624984,"path",43
"DR_EPL_1_03",756.463327554629,30965.7429408708,"path",43
"DR_EPL_1_03",811.130830789687,30965.7429408708,"path",43
"DR_EPL_1_03",869.749002617784,30965.7429408708,"path",43
"DR_EPL_1_03",932.60334688322,30965.7429408708,"path",43
"DR_EPL_1_03",1000,11687.9075973966,"path",43
"DR_EPL_1_03",1072.26722201032,11687.9075973966,"path",43
"DR_EPL_1_03",1149.75699539774,11687.9075973966,"path",43
"DR_EPL_1_03",1232.84673944207,11687.9075973966,"path",43
"DR_EPL_1_03",1321.94114846603,11687.9075973966,"path",43
"DR_EPL_1_03",1417.47416292681,4934.50308990563,"path",43
"DR_EPL_1_03",1519.91108295293,4934.50308990563,"path",43
"DR_EPL_1_03",1629.75083462064,4934.50308990563,"path",43
"DR_EPL_1_03",1747.52840000768,4934.50308990563,"path",43
"DR_EPL_1_03",1873.81742286038,2785.71119904055,"path",43
"DR_EPL_1_03",2009.23300256505,2785.71119904055,"path",43
"DR_EPL_1_03",2154.43469003189,2785.71119904055,"path",43
"DR_EPL_1_03",2310.12970008316,2785.71119904055,"path",43
"DR_EPL_1_03",2477.07635599171,2785.71119904055,"path",43
"DR_EPL_1_03",2656.08778294669,2785.71119904055,"path",43
"DR_EPL_1_03",2848.0358684358,2785.71119904055,"path",43
"DR_EPL_1_03",3053.85550883342,6906.51932643732,"path",43
"DR_EPL_1_03",3274.54916287773,6906.51932643732,"path",43
"DR_EPL_1_03",3511.19173421513,6906.51932643732,"path",43
"DR_EPL_1_03",3764.93580679247,6906.51932643732,"path",43
"DR_EPL_1_03",4037.01725859656,6906.51932643732,"path",43
"DR_EPL_1_03",4328.76128108306,6906.51932643732,"path",43
"DR_EPL_1_03",4641.58883361278,6906.51932643732,"path",43
"DR_EPL_1_03",4977.02356433211,6906.51932643732,"path",43
"DR_EPL_1_03",5336.69923120631,6906.51932643732,"path",43
"DR_EPL_1_03",5722.36765935022,6906.51932643732,"path",43
"DR_EPL_1_03",6135.90727341317,6906.51932643732,"path",43
"DR_EPL_1_03",6579.33224657568,27618.9641253083,"path",43
"DR_EPL_1_03",7054.80231071865,27618.9641253083,"path",43
"DR_EPL_1_03",7564.63327554629,27618.9641253083,"path",43
"DR_EPL_1_03",8111.30830789687,27618.9641253083,"path",43
"DR_EPL_1_03",8697.49002617784,27618.9641253083,"path",43
"DR_EPL_1_03",9326.0334688322,27618.9641253083,"path",43
"DR_EPL_1_03",10000,27618.9641253083,"path",43
"DR_EPL_1_03",10722.6722201032,27618.9641253083,"path",43
"DR_EPL_1_03",11497.5699539774,27618.9641253083,"path",43
"DR_EPL_1_03",12328.4673944207,27618.9641253083,"path",43
"DR_EPL_1_03",13219.4114846603,27618.9641253083,"path",43
