Table S1.4. List of populations and ethnicity codes (Latitudes and Longitudes are not necessarily the sampling location)									
Numeric Code	Code	Linguistic Group	Tribe	Biogeography	Biogeography Code	Number of samples	Sample Collecting Institute	Latitude	Longitude
58	DR_SDN_2_01	DR	No	South Deccan	SDN	32	CBR	12.83314	77.42615
59	DR_WGH_1_01	DR	Yes	Western Ghats	WGH	45	NIMHANS	12.17512	76.05031
60	DR_WGH_1_02	DR	Yes	Western Ghats	WGH	75	NIMHANS	14.69067	74.48705
61	DR_NGH_1_02	DR	Yes	Nilgiri Hills	NGH	75	RGCB	11.67654	76.33617
62	DR_NGH_1_01	DR	Yes	Nilgiri Hills	NGH	75	RGCB	11.28254	76.42987
63	AA_EPL_1_01	AA	Yes	Eastern Plateau	EPL	91	IBSD	22.65354	84.50448
64	DR_EPL_1_03	DR	Yes	Eastern Plateau	EPL	81	ILSB	19.41705	80.60063
65	IE_EPL_2_01	IE	No	Eastern Plateau	EPL	161	BRIC-NIBMG	23.32485	86.34514
66	IE_NCH_1_03	IE	Yes	North Central Highlands	NCH	75	GBRC	25.7598	77.24906
67	DR_EPL_1_02	DR	Yes	Eastern Plateau	EPL	83	ILSB	19.78276	82.01435
68	DR_EPL_1_01	DR	Yes	Eastern Plateau	EPL	68	ILSB	19.07927	81.64706
69	AA_SCH_1_01	AA	Yes	South Central Highlands	SCH	65	GBRC	24.72125	81.33231
70	IE_EPL_1_01	IE	Yes	Eastern Plateau	EPL	56	AIIMS-Jodhpur	23.56829	81.52064
71	AA_NDN_1_01	AA	Yes	North Deccan	NDN	50	GBRC	21.6454	77.63145
72	AA_EPL_1_02	AA	Yes	Eastern Plateau	EPL	60	ILSB	21.50235	85.53549
73	AA_EPL_1_03	AA	Yes	Eastern Plateau	EPL	92	IBSD	23.0547	85.41767
74	AA_EPL_1_04	AA	Yes	Eastern Plateau	EPL	168	BRIC-NIBMG	24.18441	87.3928
75	IE_BPV_2_01	IE	No	Brahmaputra Valley	BPV	114	BRIC-NIBMG	26.30772	89.85634
76	IE_CHR_1_01	IE	Yes	Central Himalayas	CHR	54	CCMB	28.43243	80.9337
77	AA_NER_1_01	AA	Yes	North Eastern Range	NER	75	MZU	25.47378	91.95833
78	TB_BPV_1_02	TB	Yes	Brahmaputra Valley	BPV	105	MZU	25.98037	90.79309
79	TB_BPV_1_01	TB	Yes	Brahmaputra Valley	BPV	127	MZU	26.02589	90.35165
80	TB_NER_2_01	TB	No	North Eastern Range	NER	159	IBSD	24.75498	93.93207
81	TB_WHR_1_02	TB	Yes	Western Himalayas	WHR	56	IGIB	32.24296	78.04243
82	TB_NER_1_01	TB	Yes	North Eastern Range	NER	134	MZU	23.71601	92.71862
83	CAO	NA	NA	NA	NA	50	GBRC	21.13292	70.78436
