Sample	Clusters
S607	IE_NT
S5617	IE_NT
S5971	DR_NT
S2831	IE_NT
S2318	IE_NT
S23	DR_T
S5367	IE_NT
S608	IE_NT
S609	IE_NT
S8198	AA_T
S5972	DR_NT
S610	IE_NT
S2832	IE_NT
S611	IE_NT
S612	IE_NT
S2773	IE_NT
S5768	IE_NT
S613	IE_NT
S2833	IE_NT
S5973	DR_NT
S3521	IE_NT
S9313	IE_T
S24	DR_T
S3522	IE_NT
S614	IE_NT
S2503	IE_NT
S488	DR_T
S5471	IE_NT
S8381	TB_NT
S8960	IE_T
S8676	TB_T
S2834	IE_NT
S3523	IE_NT
S2629	IE_NT
S8961	IE_T
S8962	IE_T
S9499	IE_T
S366	DR_T
S8963	IE_T
S2835	IE_NT
S615	IE_NT
S8416	TB_NT
S5893	IE_NT
S3524	IE_NT
S5974	DR_NT
S25	DR_T
S8397	TB_NT
S9584	IE_T
S616	IE_NT
S9314	IE_T
S5975	DR_NT
S6946	DR_NT
S8964	IE_T
S2408	IE_NT
S2319	IE_NT
S3525	IE_NT
S617	IE_NT
S2765	IE_NT
S5618	IE_NT
S1994	IE_NT
S2836	IE_NT
S6947	DR_NT
S7883	AA_T
S6948	DR_NT
S2083	IE_NT
S6949	DR_NT
S6950	DR_NT
S3526	IE_NT
S3527	IE_NT
S5264	IE_NT
S6951	DR_NT
S3528	IE_NT
S2837	IE_NT
S8965	IE_T
S618	IE_NT
S5864	IE_NT
S619	IE_NT
S620	IE_NT
S3529	IE_NT
S621	IE_NT
S8384	TB_NT
S2475	IE_NT
S3530	IE_NT
S7828	AA_T
S622	IE_NT
S623	IE_NT
S3531	IE_NT
S7342	DR_NT
S3532	IE_NT
S624	IE_NT
S625	IE_NT
S3533	IE_NT
S5976	DR_NT
S3534	IE_NT
S3535	IE_NT
S3536	IE_NT
S626	IE_NT
S627	IE_NT
S8720	TB_T
S26	DR_T
S8966	IE_T
S2546	IE_NT
S3537	IE_NT
S628	IE_NT
S2838	IE_NT
S3538	IE_NT
S6952	DR_NT
S9500	IE_T
S8433	TB_NT
S8967	IE_T
S8968	IE_T
S5472	IE_NT
S5977	DR_NT
S6953	DR_NT
S629	IE_NT
S2210	IE_NT
S5017	IE_NT
S5978	DR_NT
S2839	IE_NT
S3539	IE_NT
S2840	IE_NT
S27	DR_T
S5979	DR_NT
S2777	IE_NT
S2841	IE_NT
S2559	IE_NT
S8666	TB_T
S630	IE_NT
S2842	IE_NT
S6954	DR_NT
S2170	IE_NT
S3540	IE_NT
S2843	IE_NT
S3541	IE_NT
S631	IE_NT
S3542	IE_NT
S3543	IE_NT
S2844	IE_NT
S3544	IE_NT
S5453	IE_NT
S5867	IE_NT
S8628	TB_T
S3545	IE_NT
S9585	IE_T
S632	IE_NT
S633	IE_NT
S3546	IE_NT
S634	IE_NT
S3547	IE_NT
S6955	DR_NT
S267	DR_T
S635	IE_NT
S7575	DR_NT
S9586	IE_T
S7861	AA_T
S28	DR_T
S3548	IE_NT
S2845	IE_NT
S3549	IE_NT
S5980	DR_NT
S2846	IE_NT
S7854	AA_T
S7872	AA_T
S636	IE_NT
S637	IE_NT
S8969	IE_T
S438	DR_T
S5981	DR_NT
S6956	DR_NT
S638	IE_NT
S639	IE_NT
S29	DR_T
S3550	IE_NT
S2490	IE_NT
S6957	DR_NT
S2847	IE_NT
S3551	IE_NT
S640	IE_NT
S3552	IE_NT
S9315	IE_T
S5982	DR_NT
S2848	IE_NT
S5983	DR_NT
S5984	DR_NT
S5276	IE_NT
S399	DR_T
S8430	TB_NT
S641	IE_NT
S8751	TB_T
S3553	IE_NT
S3554	IE_NT
S3555	IE_NT
S5985	DR_NT
S9316	IE_T
S8970	IE_T
S2849	IE_NT
S8097	AA_T
S1896	IE_NT
S3556	IE_NT
S8707	TB_T
S8857	TB_T
S3557	IE_NT
S3558	IE_NT
S5986	DR_NT
S7353	DR_NT
S2850	IE_NT
S7576	DR_NT
S5987	DR_NT
S2851	IE_NT
S5308	IE_NT
S5988	DR_NT
S6958	DR_NT
S3559	IE_NT
S7354	DR_NT
S6959	DR_NT
S3560	IE_NT
S6960	DR_NT
S5894	IE_NT
S2110	IE_NT
S2852	IE_NT
S8270	AA_T
S642	IE_NT
S5989	DR_NT
S5619	IE_NT
S3561	IE_NT
S7875	AA_T
S9317	IE_T
S643	IE_NT
S6961	DR_NT
S408	DR_T
S644	IE_NT
S7781	AA_T
S6962	DR_NT
S6963	DR_NT
S3562	IE_NT
S645	IE_NT
S3563	IE_NT
S5620	IE_NT
S439	DR_T
S8194	AA_T
S5018	IE_NT
S8737	TB_T
S3564	IE_NT
S2853	IE_NT
S5990	DR_NT
S5301	IE_NT
S3565	IE_NT
S646	IE_NT
S3566	IE_NT
S3567	IE_NT
S5991	DR_NT
S8971	IE_T
S2854	IE_NT
S9318	IE_T
S472	DR_T
S3568	IE_NT
S3569	IE_NT
S5992	DR_NT
S2403	IE_NT
S2330	IE_NT
S3570	IE_NT
S2470	IE_NT
S647	IE_NT
S8098	AA_T
S5262	IE_NT
S648	IE_NT
S3571	IE_NT
S30	DR_T
S3595	IE_NT
S2855	IE_NT
S8099	AA_T
S2856	IE_NT
S7355	DR_NT
S6964	DR_NT
S288	DR_T
S2857	IE_NT
S5993	DR_NT
S2060	IE_NT
S7577	DR_NT
S2775	IE_NT
S3572	IE_NT
S5381	IE_NT
S5994	DR_NT
S3573	IE_NT
S6965	DR_NT
S2858	IE_NT
S2859	IE_NT
S9501	IE_T
S5328	IE_NT
S8695	TB_T
S8620	TB_T
S3574	IE_NT
S8752	TB_T
S8915	TB_T
S3575	IE_NT
S2152	IE_NT
S3576	IE_NT
S5995	DR_NT
S5473	IE_NT
S8507	TB_T
S8285	AA_T
S253	DR_T
S9624	IE_T
S649	IE_NT
S9319	IE_T
S3578	IE_NT
S2267	IE_NT
S3579	IE_NT
S3580	IE_NT
S650	IE_NT
S8832	TB_T
S651	IE_NT
S3581	IE_NT
S8	DR_T
S8100	AA_T
S3582	IE_NT
S5621	IE_NT
S8101	AA_T
S652	IE_NT
S5710	IE_NT
S2860	IE_NT
S3583	IE_NT
S653	IE_NT
S5622	IE_NT
S2370	IE_NT
S5996	DR_NT
S2421	IE_NT
S654	IE_NT
S7919	AA_T
S7356	DR_NT
S2508	IE_NT
S655	IE_NT
S8972	IE_T
S7357	DR_NT
S3584	IE_NT
S3585	IE_NT
S9502	IE_T
S5997	DR_NT
S2085	IE_NT
S656	IE_NT
S5865	IE_NT
S3586	IE_NT
S6966	DR_NT
S3587	IE_NT
S5998	DR_NT
S31	DR_T
S657	IE_NT
S3588	IE_NT
S367	DR_T
S6967	DR_NT
S658	IE_NT
S7914	AA_T
S6968	DR_NT
S3589	IE_NT
S2349	IE_NT
S5999	DR_NT
S659	IE_NT
S6000	DR_NT
S660	IE_NT
S8701	TB_T
S3590	IE_NT
S2418	IE_NT
S5474	IE_NT
S3591	IE_NT
S6001	DR_NT
S661	IE_NT
S5890	IE_NT
S3592	IE_NT
S8567	TB_T
S5317	IE_NT
S2247	IE_NT
S7743	AA_T
S8556	TB_T
S334	DR_T
S243	DR_T
S6002	DR_NT
S6003	DR_NT
S5907	IE_NT
S4590	IE_NT
S662	IE_NT
S6004	DR_NT
S2861	IE_NT
S3593	IE_NT
S7867	AA_T
S3594	IE_NT
S8102	AA_T
S663	IE_NT
S664	IE_NT
S8973	IE_T
S8974	IE_T
S9626	IE_T
S6005	DR_NT
S2206	IE_NT
S6006	DR_NT
S665	IE_NT
S332	DR_T
S32	DR_T
S8291	AA_T
S6969	DR_NT
S33	DR_T
S3596	IE_NT
S6007	DR_NT
S7988	AA_T
S5475	IE_NT
S8975	IE_T
S7578	DR_NT
S492	DR_T
S8296	AA_T
S5019	IE_NT
S2258	IE_NT
S5427	IE_NT
S5623	IE_NT
S7358	DR_NT
S666	IE_NT
S667	IE_NT
S5624	IE_NT
S668	IE_NT
S669	IE_NT
S2112	IE_NT
S2646	IE_NT
S2443	IE_NT
S3597	IE_NT
